Genus_Species_Steenwyk2018	Genus_Species_Shen2018	Genus_Species_Shen2016	Strain_Peter2018
	Ascoidea_asiatica		CMF
	Ascoidea_rubescens		ADN
	Saccharomycopsis_capsularis		ANV
	Saccharomycopsis_malanga		ANR
	Diddensiella_caesifluorescens		ANT
	Spencermartinsiella_europaea		BTS
	Sugiyamaella_lignohabitans		APA
	Zygoascus_meyerae		AFM
	Zygoascus_ofunaensis		ADQ
	Candida_salmanticensis		AFN
	Blastobotrys_proliferans		CLN
	Blastobotrys_nivea		CLQ
	Blastobotrys_mokoenaii		CMK
	Blastobotrys_raffinofermentans		CLI
	Arxula_adeninivorans		ARM
	Blastobotrys_peoriensis		CMH
	Blastobotrys_americana		AEF
	Blastobotrys_serpentis		ARP
	Blastobotrys_muscicola		CKR
	Candida_infanticola		CEP
	Wickerhamiella_cacticola		CGH
	Wickerhamiella_domercqiae		ASM
	Candida_apicola		SACE_YCN
	Starmerella_bombicola		SACE_YDE
	Candida_versatilis		SACE_YCM
	Deakozyma_indianensis		ARG
	Candida_incommunis		AGR
	Saprochaete_clavata		CDA
	Magnusiomyces_tetrasperma		CCV
	Geotrichum_candidum		CCT
	Dipodascus_geniculatus		AHH
	Dipodascus_albidus		AFK
	Middelhovenomyces_tepae		ARI
	Yarrowia_divulgata		ARH
	Yarrowia_deformans		SACE_YDI
	Yarrowia_lipolytica		CDP
	Yarrowia_keelungensis		ADG
	Yarrowia_bubula		CMS
	Candida_hispaniensis		SACE_YCO
	Nadsonia_fulvescens_var_elongata		BBR
	Nadsonia_fulvescens		SACE_YCU
	Lipomyces_suomiensis		SACE_YBS
	Lipomyces_oligophaga		AKN
	Lipomyces_mesembrius		ANI
	Lipomyces_arxii		ANK
	Lipomyces_starkeyi		AND
	Lipomyces_kononenkoae		ANG
	Lipomyces_doorenjongii		ANE
	Lipomyces_japonicus		ANC
	Lipomyces_lipofer		ANH
	Xylona_heveae		ANF
	Coccidioides_immitis		ACD
	Aspergillus_nidulans		AVI
	Stagonospora_nodorum		CDB
	Botrytis_cinerea		BEG
	Sclerotinia_sclerotiorum		CCP
	Neurospora_crassa		CEH
	Fusarium_graminearum		AMF
	Arthrobotrys_oligospora		AMD
	Schizosaccharomyces_pombe		CDI
	Saitoella_complicata		CDH
	Botryozyma_nematodophila		CDG
	Tortispora_caseinolytica		CDF
	Tortispora_ganteri		SACE_YCW
	Tortispora_starmeri		SACE_GAS
	Trigonopsis_vinaria		CDQ
	Trigonopsis_variabilis		AMC
	Alloascoidea_hylecoeti		AMB
	Sporopachydermia_lactativora		BFL
	Sporopachydermia_quercuum		BFA
	Ogataea_kodamae		CDN
	Ogataea_polymorpha		SACE_YCX
	Ogataea_parapolymorpha		SACE_GAT
	Ogataea_philodendra		CMQ
	Ogataea_minuta		CCI
	Ogataea_nonfermentans		CCG
	Ogataea_henricii		CCF
	Ogataea_pini		CCE
	Ogataea_glucozyma		CCD
	Ogataea_zsoltii		CCC
	Ogataea_trehaloabstinens		ACC
	Ogataea_populiabae		CCH
	Ogataea_nitratoaversa		CMP
	Ogataea_pilisensis		BAP
	Ogataea_trehalophila		BAN
	Ogataea_methanolica		AMM
	Candida_arabinofermentans		SACE_YCB
	Ambrosiozyma_philentoma		ABL
	Ambrosiozyma_ambrosiae		SACE_YCY
	Ambrosiozyma_oregonensis		SACE_MAL
	Ambrosiozyma_monospora		BMC
	Ambrosiozyma_kashinagacola		BMB
	Ambrosiozyma_pseudovanderkliftii		AKM
	Ambrosiozyma_vanderkliftii		BMA
	Ambrosiozyma_maleeae		SACE_YCR
	Pichia_heedii		CDL
	Pichia_nakasei		CCN
	Pichia_norvegensis		ACQ
	Pichia_kudriavzevii		BAI
	Pichia_occidentalis		BAK
	Pichia_exigua		CCS
	Pichia_membranifaciens		CCR
	Candida_sorboxylosa		CCQ
	Pichia_terricola		CEI
	Saturnispora_saitoi		CEG
	Saturnispora_zaruensis		AMH
	Saturnispora_dispora		BAL
	Saturnispora_serradocipensis		BAH
	Saturnispora_hagleri		BAG
	Saturnispora_mendoncae		BAQ
	Saturnispora_silvae		BAM
	Martiniozyma_abiesophila		SACE_YCV
	Kregervanrija_fluxuum		SACE_YBP
	Kregervanrija_delftensis		ATP
	Brettanomyces_anomalus		APR
	Dekkera_bruxellensis		APQ
